T0_1_Multiseq	BC2	1D_GEX_demux/P0/demux/BC2/
T0_1_Multiseq	BC3	1D_GEX_demux/P0/demux/BC3/
T0_2_Multiseq	BC5	1D_GEX_demux/P0/demux/BC5/
T0_2_Multiseq	BC6	1D_GEX_demux/P0/demux/BC6/
T5_1_Multiseq	BC7	1D_GEX_demux/A1/demux/BC7/
T7_1_Multiseq	BC8	1D_GEX_demux/A1/demux/BC8/
T9_1_Multiseq	BC9	1D_GEX_demux/A1/demux/BC9/
T11_1_Multiseq	BC10	1D_GEX_demux/A1/demux/BC10/
T13_1_Multiseq	BC11	1D_GEX_demux/A1/demux/BC11/
T15_1_Multiseq	BC12	1D_GEX_demux/A1/demux/BC12/
T5_1_Multiseq	BC7	1D_GEX_demux/A2/demux/BC7/
T7_1_Multiseq	BC8	1D_GEX_demux/A2/demux/BC8/
T9_1_Multiseq	BC9	1D_GEX_demux/A2/demux/BC9/
T11_1_Multiseq	BC10	1D_GEX_demux/A2/demux/BC10/
T13_1_Multiseq	BC11	1D_GEX_demux/A2/demux/BC11/
T15_1_Multiseq	BC12	1D_GEX_demux/A2/demux/BC12/
T5_2_Multiseq	BC7	1D_GEX_demux/B1/demux/BC7/
T7_2_Multiseq	BC8	1D_GEX_demux/B1/demux/BC8/
T9_2_Multiseq	BC9	1D_GEX_demux/B1/demux/BC9/
T11_2_Multiseq	BC10	1D_GEX_demux/B1/demux/BC10/
T13_2_Multiseq	BC11	1D_GEX_demux/B1/demux/BC11/
T15_2_Multiseq	BC12	1D_GEX_demux/B1/demux/BC12/
T5_2_Multiseq	BC7	1D_GEX_demux/B2/demux/BC7/
T7_2_Multiseq	BC8	1D_GEX_demux/B2/demux/BC8/
T9_2_Multiseq	BC9	1D_GEX_demux/B2/demux/BC9/
T11_2_Multiseq	BC10	1D_GEX_demux/B2/demux/BC10/
T13_2_Multiseq	BC11	1D_GEX_demux/B2/demux/BC11/
T15_2_Multiseq	BC12	1D_GEX_demux/B2/demux/BC12/
